model,seed,shift,post_shift_mae,recovery_steps,calibration_error
heuristic_v4,0,7.0,2.65603319036981,1.0,1.1805788260811028
gru_small,0,7.0,1.1417678081964053,3.0,0.10310468383952198
linear_ssm_small,0,7.0,1.2505871960388457,6.0,0.07796170514976408
baseline_mlp_or_rnn,0,7.0,1.1582993569176174,4.0,0.05466350498411199
heuristic_v4,1,7.0,3.1492494633230224,1.0,0.691920389504757
gru_small,1,7.0,0.9594452780254363,2.0,0.1270559034547667
linear_ssm_small,1,7.0,1.9418589845379182,17.0,0.3260371689066026
baseline_mlp_or_rnn,1,7.0,0.9708805909931406,4.0,0.06454244122302255
heuristic_v4,2,7.0,3.4731722011346378,2.0,0.6840682487352101
gru_small,2,7.0,1.0681215522158112,2.0,0.2265992046368478
linear_ssm_small,2,7.0,1.2247383396370515,7.0,0.127002093268612
baseline_mlp_or_rnn,2,7.0,1.025616402587108,5.0,0.1479596817414648
